Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
Which are the GCP tools for SRE: Site Reliability Engineering?,multiple-choice,"SRE is the management of availability, latency, performance, efficiency, change management, monitoring, emergency response, and capacity planning regarding the software development process. GCP has a set of tools called APPLICATION PERFORMANCE MANAGEMENT: Stackdriver Trace, Stackdriver Debugger, and Stackdriver Profiler",,"SRE is the management of security, performance, scale, and reliability of Google's technology Services. Google's application and network architecture is designed for maximum reliability and uptime. GCP provides: SLAs, Privacy Policies and tools for Data Protection Google's application and network architecture is designed for maximum reliability and uptime.",,"SRE is the management of security, latency, performance, emergency response, and capacity planning regarding the network and the infrastructure. GCP has the following set of products: VPC, Interconnect, VPN and Peering",,SRE is the Protection and Mitigation against DDoS management and other threats; GCP has a set of protections and guidelines for the best practices to be followed,,,,,,1,"A Site Reliability Engineering team is responsible for availability, latency, performance, efficiency, change management, monitoring, emergency response, and capacity planning. | Image: https://skillcertpro.com/wp-content/uploads/2020/08/a5.png | https://skillcertpro.com/wp-content/uploads/2020/08/a5.png | Stackdriver Trace is a performance analyzer that collects latency data from your applications and displays it in the Google Cloud Platform Console. You can track how requests propagate through your application and receive detailed near real-time performance insights. Stackdriver Profiler is a statistical, low-overhead profiler that continuously gathers CPU usage and memory-allocation information from your production applications. Stackdriver Debugger is a feature of Google Cloud Platform that lets you inspect the state of a running application in real time, without stopping or slowing it down. Your users are not impacted while you capture the call stack and variables at any location in your source code. For any further detail: https://cloud.google.com/apm/ Stackdriver Trace, Stackdriver Debugger, Stackdriver Profiler https://cloud.google.com/files/GCPDDoSprotection-04122016.pdf | https://cloud.google.com/apm/: https://cloud.google.com/apm/ | https://cloud.google.com/files/GCPDDoSprotection-04122016.pdf: https://cloud.google.com/files/GCPDDoSprotection-04122016.pdf",
"Which are the purpose and differences between the following Security Modules? HSM, KMS and Secret Manager",multiple-choice,HSM manages the complete lifecycle of a key KMS make just the storage Secret Manager talks with the applications,,"HSM is a hardware security module that encrypt and store security keys, KMS manage and rotate cryptographic keys for your cloud services and Secret Manager manage passwords, credentials, API keys for your cloud services",,"HSM manage passwords, credentials, API keys for your cloud services KMS is a hardware security module that encrypts and store security keys Secret Manager manage and rotate cryptographic keys for your cloud services and Secret Manager manage passwords",,"HSM manage and rotate cryptographic keys for your cloud services and Secret Manager manage passwords, KMS manage passwords, credentials, API keys for your cloud services, Secret Manager ia an hardware security module that encrypt and store security keys and",,,,,,2,"Correct answer: B Google’s infrastructure provides a variety of storage services, such as Bigtable and Spanner, and a central key management service: Cloud KMS. Most applications at Google access physical storage indirectly via these storage services. The storage services can be configured to use keys from the central key management service to encrypt data before it is written to physical storage. This key management service supports automatic key rotation, provides extensive audit logs, and integrates with the previously mentioned end user permission tickets to link keys to particular end users. So, Google Cloud Key Management Service (KMS) is a cloud service for managing automatically all the services related to encryption keys for other Google cloud services that enterprises can use to implement cryptographic functions. HSM is a physical computing device that stores and manages digital keys for strong authentication and provides crypto-processing. They usually plug-in cards or external devices that are attached directly to a computer or network server. Cloud HSM is a managed service for HSM and it is fully integrated with KMS for creating and using customer-managed encryption keys. It is necessary only in special cases where an hardware enforced additional level of security is required. Secrets are database credentials, passwords, keys secrets, any security token. rotate, manage, and retrieve secrets. Secrets Manager helps you protect secrets needed to access your applications, services, and IT resources. It is needed when you store secrets but manage yourself the security procedures. For any further detail: https://cloud.google.com/hsm/ https://cloud.google.com/kms/ https://cloud.google.com/secret-manager/docs/ | https://cloud.google.com/hsm/: https://cloud.google.com/hsm/ | https://cloud.google.com/kms/: https://cloud.google.com/kms/ | https://cloud.google.com/secret-manager/docs/: https://cloud.google.com/secret-manager/docs/",
Which are the similarities and differences between a Kubernetes Cluster and an Instance Group? Choose three correct statements among the following ones:,multi-select,Both are sets of VMs that can be managed as a group. Managed instance groups (MIGs) work on identical VMs. Kubernetes Cluster may have multiples node pools with different machine types.,,Managed instance groups start and stop faster and use fewer resources than Kubernetes Cluster.,,Kubernetes Pods may reside on different nodes (VM) while managed instance groups execute the same application on each of the nodes.,,Both Managed instance groups and Kubernetes Cluster natively manage applications in containers,,Kubernetes Clusters have more automation features,,With Kubernetes Cluster it is necessary to have a Load Balancer to serve traffic as backend service or target pool,,"1,2","Image: https://skillcertpro.com/wp-content/uploads/2020/08/a21-1.png | https://skillcertpro.com/wp-content/uploads/2020/08/a21-1.png | Both Kubernetes Clusters and Instance Groups are sets of VMs that can be managed as a group. Instance groups, however, are much more restricted All VMs generally run the same image in an instance group. That is not the case with Kubernetes. Also, instance groups have no mechanism to support the deployment of containers They can start and stop much faster (usually in seconds) and use fewer resources Instance groups have some monitoring and restart instances that fail, but Kubernetes has much more flexibility with regard to maintaining a cluster of servers. Giusti You may notice that pods are similar to Compute Engine managed instance groups. A key difference is that pods are for executing applications in containers and may be placed on various nodes in the cluster, while managed instance groups all execute the same application code on each of the nodes. Also, you typically manage instance groups yourself by executing commands in Cloud Console or through the command line. Pods are usually managed by a controller. Services Since pods are ephemeral and can be terminated by a controller, other services that depend on pods should not be tightly coupled to particular pods. For example, even though pods have unique IP addresses, applications should not depend on that IP address to reach an application. If the pod with that address is terminated and another is created, it may have another IP address. The IP address may be re-assigned to another pod running a different container. Kubernetes provides a level of indirection between applications running in pods and other applications that call them: it is called a service. A service, in Kubernetes terminology, is an object that provides API endpoints with a stable IP address that allow applications to discover pods running a particular application. Services update when changes are made to pods, so they maintain an up-to-date list of pods running an application. For any further detail: https://cloud.google.com/kubernetes-engine/docs/concepts/kubernetes-engine-overview https://cloud.google.com/kubernetes-engine/docs/concepts/node-pools https://cloud.google.com/compute/docs/instance-groups/adding-an-instance-group-to-a-load-balancer | https://cloud.google.com/kubernetes-engine/docs/concepts/kubernetes-engine-overview: https://cloud.google.com/kubernetes-engine/docs/concepts/kubernetes-engine-overview | https://cloud.google.com/kubernetes-engine/docs/concepts/node-pools: https://cloud.google.com/kubernetes-engine/docs/concepts/node-pools | https://cloud.google.com/compute/docs/instance-groups/adding-an-instance-group-to-a-load-balancer: https://cloud.google.com/compute/docs/instance-groups/adding-an-instance-group-to-a-load-balancer",
Which languages you can use with Cloud Spanner?,multiple-choice,"Javascript, Json and GQL",,Java and GQL,,"Python, Javascript and SQL",,"Python, Javascript, GO, Java, PhP, Ruby and SQL",,,,,,1,"Cloud Spanner is a scalable, enterprise-grade, globally-distributed, and strongly consistent relational built for the cloud that combines the benefits and consistency of traditional databases with non-relational horizontal scale. Cloud Spanner uses the industry-standard ANSI 2011 SQL for queries and has client libraries for many programming languages. | Image: https://skillcertpro.com/wp-content/uploads/2020/08/a26-1.png | https://skillcertpro.com/wp-content/uploads/2020/08/a26-1.png | For any further detail: https://cloud.google.com/spanner/docs/ | https://cloud.google.com/spanner/docs/: https://cloud.google.com/spanner/docs/",
With Cloud Storage you may have different classes and it is possible to pass from one class to another. But some transitions are not allowed. Which one of the following is not possible?,multiple-choice,Regional to nearline,,Multiregional to coldline,,Regional to multiregional,,Nearline to coldline,,,,,,3,"Correct answer: C When you create a bucket you have to declare if it will be either regional or multiregional, You cannot change afterwards. All the other transitions are allowed. For any further detail: https://cloud.google.com/storage-transfer/docs/overview | https://cloud.google.com/storage-transfer/docs/overview: https://cloud.google.com/storage-transfer/docs/overview",
"With your team, you are planning to migrate HTTPs apps to GKE clusters and worry about scalability and availability. You re-engineered the apps so that they are sessionless. You want the best performances and high availability. How do you manage the scalability of an app distributed in GKE easily and at the lowest cost?",multiple-choice,Use Compute Engine autoscaling for managed instance groups for your cluster nodes,,"Use GKE's cluster autoscaler standard features, only preemptible VMs and multi-zonal clusters",,Use Compute Engine autoscaling for managed instance groups with preemptible VMs,,"Use GKE's cluster autoscaler with a Vertical Pod Autoscaling, one of the node pool made by preemptible VMs and regional clusters",,,,,,4,"Correct answer: D GKE’s cluster autoscaler automatically resizes the number of nodes in a given node pool, based on the demands of your workloads. You don’t need to manually add or remove nodes or over-provision your node pools. Instead, you specify a minimum and maximum size for the node pool, and the rest is automatic. If your node pool contains multiple managed instance groups with the same instance type, cluster autoscaler attempts to keep these managed instance group sizes balanced when scaling up. This can help prevent an uneven distribution of nodes among managed instance groups in multiple zones of a node pool. Cluster autoscaler considers the relative cost of the instance types in the various pools, and attempts to expand the least expensive possible node pool. The reduced cost of node pools containing preemptible VMs is taken into account. Vertical pod autoscaling (VPA) is a feature that can recommend values for CPU and memory requests and limits, or it can automatically update the values. With Vertical pod autoscaling: Cluster nodes are used efficiently, because Pods use exactly what they need. Pods are scheduled onto nodes that have the appropriate resources available. You don’t have to run time-consuming benchmarking tasks to determine the correct values for CPU and memory requests. Maintenance time is reduced, because the autoscaler can adjust CPU and memory requests over time without any action on your part. With GKE you don’t have to use the scalability features of Compute Engine. For any further detail: https://cloud.google.com/kubernetes-engine/docs/concepts/cluster-autoscaler https://cloud.google.com/kubernetes-engine/docs/concepts/verticalpodautoscaler https://cloud.google.com/kubernetes-engine/docs/concepts/scalability | https://cloud.google.com/kubernetes-engine/docs/concepts/cluster-autoscaler: https://cloud.google.com/kubernetes-engine/docs/concepts/cluster-autoscaler | https://cloud.google.com/kubernetes-engine/docs/concepts/verticalpodautoscaler: https://cloud.google.com/kubernetes-engine/docs/concepts/verticalpodautoscaler | https://cloud.google.com/kubernetes-engine/docs/concepts/scalability: https://cloud.google.com/kubernetes-engine/docs/concepts/scalability",
"You are asked to manage the backend for a brand new e-commerce site that also will sell complex solutions, that is, kits of products that can be managed both as single items and as a composite unit with different warehouses. The primary requirement is that costs will be minimized maintaining the system highly scalable and secure. Which of the following solutions do you consider for the acquisition and the confirmation of the orders?",multiple-choice,Create a Cloud Function that manage the entire process,,Create a backend with App Engine flexible Edition,,Create a Cloud Function that triggers a Pub/Sub event and decouples the processing,,Create a backend with App Engine standard Edition,,Create a backend and deploy it in a Compute Engine environment,,,,1,"For an e-commerce site selling complex solutions, a highly scalable, secure, and cost-effective backend solution would involve: | Create a Cloud Function that triggers a Pub/Sub event and decouples the processing. | Here’s why: | How it works: | By using this architecture, you can achieve a highly scalable, cost-effective, and secure backend solution for your e-commerce site, capable of handling complex order processing and inventory management. | For any further detail: https://cloud.google.com/functions/docs/ https://cloud.google.com/functions/docs/max-instances | Image: https://skillcertpro.com/wp-content/uploads/2020/08/a55-1.png | https://skillcertpro.com/wp-content/uploads/2020/08/a55-1.png | https://cloud.google.com/functions/docs/: https://cloud.google.com/functions/docs/ | https://cloud.google.com/functions/docs/max-instances: https://cloud.google.com/functions/docs/max-instances",
"You are asked to manage the backend for an e-commerce site that also sells complex solutions, that is, kits of products that can be managed both as single items and as a composite unit. The primary requirement is that costs are minimized maintaining the system highly scalable and secure. When a product is about to run out, it is necessary to inform the customers involved in any region and provide updates on the status of the remaining products. How do you manage data storage and stocks quantity updates?",multiple-choice,Manage transactions with Cloud SQL and then trigger user page refreshes,,Manage transactions with Cloud Datastore and then trigger page refreshes,,Manage transactions with Cloud Spanner and then trigger page refreshes,,Manage transactions with Cloud Firestore in native mode with user page refreshes,,,,,,4,"Correct Answer D This is the only solution that uses a feature called “realtime database” that allows to listen to the results of a query and get real time updates when the query results change. All the other solutions require a complex and heavy approach for refreshing the data and managing stocks updates. Furthermore, Cloud Firestore is multi-regional and not expensive. Cloud SQL and Cloud Datastore are a single-region solution and Cloud Spanner is expensive. Here there is a snippet of code from the official doc. | For any further detail: https://cloud.google.com/firestore/pricing https://cloud.google.com/datastore/docs/firestore-or-datastore | Image: https://skillcertpro.com/wp-content/uploads/2020/08/a56-1-1024x288.png | https://skillcertpro.com/wp-content/uploads/2020/08/a56-1.png | https://cloud.google.com/firestore/pricing: https://cloud.google.com/firestore/pricing | https://cloud.google.com/datastore/docs/firestore-or-datastore: https://cloud.google.com/datastore/docs/firestore-or-datastore",
"You are asked to manage the backend for an e-commerce site that also sells complex solutions, that is, kits of products that can be managed both as single items and as a composite unit. The primary requirement is that costs are minimized maintaining the system highly scalable and secure. How do you manage and correct errors that may happen during backend processing (choose 2)?",multi-select,Update the code of each function to handle exceptions,,"Encode exceptions, write jsonPayloads in the log",,"Encode exceptions, write textPayload in the log",,Export selected log entries to Pub / Sub and manage errors asynchronously,,Export the log entries to Cloud Storage and manage errors,,,,"1,2","Correct Answers B,D The best way is to put all the data needed for error handling in a structure (jsonPayloads) and to query Stackdriver logs for the apps errors. In this way the errors can be passed to Pub/Sub and, consequently, to the function capable to manage, correct and inform the users about all the exceptions. A is wrong because the errors could be caught in the code or could occur in some external service. So it is not always possible to organize all inside the code. C is wrong because textPayload is not structured. E is wrong because with Cloud Storage you would need to scan and parse log texts. | Image: https://skillcertpro.com/wp-content/uploads/2020/08/a57-1.png | https://skillcertpro.com/wp-content/uploads/2020/08/a57-1.png | For any further detail: https://cloud.google.com/run/docs/logging https://cloud.google.com/logging/docs/export/configure_export_v2#errors_exporting_logs_to_cloud_pubsub | https://cloud.google.com/run/docs/logging: https://cloud.google.com/run/docs/logging | https://cloud.google.com/logging/docs/export/configure_export_v2#errors_exporting_logs_to_cloud_pubsub: https://cloud.google.com/logging/docs/export/configure_export_v2#errors_exporting_logs_to_cloud_pubsub",
You are designing a logistics management system for your e-commerce in GCP. The System is developed with Cloud Functions. You can take advantage of decreasing prices related to the number of deliveries to be made and you must communicate shipments by 16:00 in order to be delivered the next day. So you want to process a batch of orders in order to optimize expenses. How do you manage these operations in the best way (2 possible choices)?,multi-select,Use a Linux Cron Job,,Use Cloud Scheduler,,Use Cloud Tasks,,Use Firebase Schedule Functions,,,,,,"1,2","Correct Answer B, C | Cloud Scheduler is the simplest and cheapest way to schedule units of work to be executed at defined times or regular intervals. On the other side, Cloud Tasks triggers actions based on how the individual task object is configured. You have to set `scheduleTime` and action is triggered at that time. | Image: https://skillcertpro.com/wp-content/uploads/2020/08/a58-1-300x190.png | https://skillcertpro.com/wp-content/uploads/2020/08/a58-1.png | In any case you may trigger: HTTP/S endpoints App Engine modules A is wrong because you are using a serverless solution, so you don’t have access to OS utilities. D is wrong because you are using GCP and not Firebase. For any further detail: https://cloud.google.com/scheduler/docs/ https://firebase.google.com/docs/functions/schedule-functions https://cloud.google.com/tasks/docs/dual-overview | Image: https://skillcertpro.com/wp-content/uploads/2020/08/a58_2.png | https://skillcertpro.com/wp-content/uploads/2020/08/a58_2.png | https://cloud.google.com/scheduler/docs/: https://cloud.google.com/scheduler/docs/ | https://firebase.google.com/docs/functions/schedule-functions: https://firebase.google.com/docs/functions/schedule-functions | https://cloud.google.com/tasks/docs/dual-overview: https://cloud.google.com/tasks/docs/dual-overview",
"You are designing an app that allows users to upload images and videos to the Cloud from the web and mobile interfaces. The users are not allowed to permanent permissions for uploading objects, but the application must provide them with the ability to carry on these tasks only when required. Which of the following is the best technique to use?",multiple-choice,Use the application credentials,,Provide the user with a scheduled temporary permit,,Use of signed URLs,,"Create a ""dummy"" user with the necessary rights that is used for the purpose by the application",,,,,,1,"Use of signed URLs is the best technique for this scenario. | Here’s why: | By using signed URLs, you can provide a seamless user experience while maintaining strong security and control over your cloud storage resources. | https://cloud.google.com/storage/docs/access-control/signed-urls | https://cloud.google.com/storage/docs/access-control/signed-urls: https://cloud.google.com/storage/docs/access-control/signed-urls",
You are designing an application to be deployed in GKE that will manage multi-regional images. These files must remain available for a month and then deleted. High performance must be maintained together with low cost and easy implementation. What kind of storage will you adopt?,multiple-choice,Local SSD,,Regional persistent disk and regional SSD persistent disk,,Filestore,,Cloud Storage,,Cloud Storage and Cloud CDN,,,,1,"The only solution for multi-regional object storage is Cloud Storage. In order to reach higher performances, the use of Cloud CDN is advisable. | Image: https://skillcertpro.com/wp-content/uploads/2020/08/a30.png | https://skillcertpro.com/wp-content/uploads/2020/08/a30.png | ❌ Why the other options are incorrect or suboptimal: | For any further detail: https://cloud.google.com/compute/docs/disks/ | https://cloud.google.com/compute/docs/disks/: https://cloud.google.com/compute/docs/disks/ | https://cloud.google.com/cdn/docs/overview | https://cloud.google.com/cdn/docs/overview: https://cloud.google.com/cdn/docs/overview | https://cloud.google.com/storage/docs/ | https://cloud.google.com/storage/docs/: https://cloud.google.com/storage/docs/",
"You are designing an IoT system that collects and processes a large amount of data from different devices for a Smart City project (cameras, sensors, control devices, etc.). Are you wondering which is the best GCP product and the data scheme to use, considering that: The information of each type of device may be different You are interested in immediate identification by area, time, device type You need access times with latencies in milliseconds The project has a limited geographical scope You need to be able to group and identify the data within each record in various ways Which of the following products do you choose?",multiple-choice,Cloud Datastore,,Cloud Spanner,,Cloud Bigtable,,BigQuery,,Cloud SQL,,,,3,"Correct answer: C Bigtable is the perfect choice. Bigtable is suitable for ad tech, fintech, and IoT and offers consistent sub-10ms latency. Replication provides higher availability, higher durability, and resilience in the face of zonal failures. Cloud Bigtable is designed with a storage engine for machine learning applications and provides easy integration with open source big data tools Regarding the other answer, for a flexible schema you need a noSQL Database. So, Datastore or Bigtable. All the others are SQL DBs. Datastore cannot supply latencies in milliseconds with petabytes of data. Bigtable can, definitely. For any further detail: https://cloud.google.com/bigtable/docs/schema-design https://cloud.google.com/bigtable/ | https://cloud.google.com/bigtable/docs/schema-design: https://cloud.google.com/bigtable/docs/schema-design | https://cloud.google.com/bigtable/: https://cloud.google.com/bigtable/",
You are going to deploy a set of applications in GKE. Which of the following choices do you need to make to be sure that the application will not have Single Point of failures of any kind and will be scalable? Choose 2 options among the following ones?,multi-select,Create a cluster with a default-pool with cluster autoscaler,,Create a single-zone cluster,,Create a cluster with a default-pool with a default configuration,,Create a regional cluster,,,,,,"1,2","Correct Answer A, D In order to avoid Single Point of failures of any kind, you have to have workers nodes with auto-healing and auto-scaling Option A a backup master node (regional cluster). Option D Nodes execute the workloads run on the cluster. Nodes are VMs that run containers configured to run an application. Nodes are primarily controlled by the cluster master, but some commands can be run manually. The nodes run an agent called kubelet, which is the service that communicates with the cluster master. A single-zone cluster has a single control plane (master) running in one zone. This control plane manages workloads on nodes running in the same zone. Multi-zonal clusters A multi-zonal cluster has a single replica of the control plane running in a single zone, and has nodes running in multiple zones. During an upgrade of the cluster or an outage of the zone where the control plane runs, workloads still run. However, the cluster, its nodes, and its workloads cannot be configured until the control plane is available. Multi-zonal clusters balance availability and cost for consistent workloads. If you want to maintain availability and the number of your nodes and node pools are changing frequently, consider using a regional cluster. Regional clusters A regional cluster has multiple replicas of the control plane, running in multiple zones within a given region. Nodes also run in each zone where a replica of the control plane runs. Because a regional cluster replicates the control plane and nodes, it consumes more Compute Engine resources than a similar single-zone or multi-zonal cluster. For any further detail: https://cloud.google.com/kubernetes-engine/docs/concepts/cluster-autoscaler https://cloud.google.com/kubernetes-engine/docs/concepts/types-of-clusters | https://cloud.google.com/kubernetes-engine/docs/concepts/cluster-autoscaler: https://cloud.google.com/kubernetes-engine/docs/concepts/cluster-autoscaler | https://cloud.google.com/kubernetes-engine/docs/concepts/types-of-clusters: https://cloud.google.com/kubernetes-engine/docs/concepts/types-of-clusters",
"You are looking for a low-cost database service that supports strong consistency, atomic transaction and serializable isolation. The data have to be partially structured. What database and what configuration do you choose?",multiple-choice,Cloud SQL mySQL with default configuration,,Cloud SQL Postgres with default configuration,,Cloud Storage with lifecycle,,Cloud Datastore with transactional commits,,,,,,1,"Cloud Datastore is a low cost noSQL Managed Database that is partially structured. | Image: https://skillcertpro.com/wp-content/uploads/2020/08/a24-1.png | https://skillcertpro.com/wp-content/uploads/2020/08/a24-1.png | Datastore commits are either transactional, meaning they take place in the context of a transaction and the transaction’s set of mutations are either all applied or none are applied, or non-transactional, meaning the set of mutations may not apply as all or none. Consistency ensures that a user reading data from the database will get the same data no matter which server in a cluster responds to the request. Datastore can be configured for strong consistency, but IO operations will take longer than if a less strict consistency configuration is used. Datastore is a good option if your data is unstructured. For any further detail: https://cloud.google.com/datastore/docs/concepts/structuring_for_strong_consistency | https://cloud.google.com/datastore/docs/concepts/structuring_for_strong_consistency: https://cloud.google.com/datastore/docs/concepts/structuring_for_strong_consistency",
"You are looking for a SQL system to integrate and query both historical and production data. The data must be organized in complex structures. In particular, it is necessary to store orders and invoices in a denormalized and complete manner with the header and detail within the same structure. Which of the following products do you choose?",multiple-choice,Cloud Datastore,,Cloud Spanner,,Cloud Bigtable,,BigQuery,,Cloud SQL,,,,4,"Correct answer: D BigQuery is an OLAP engine. So, it is far better, even if it can manage normalised data and joins, to have denormalized information. In addition BigQuery can manage nested and repeated columns and structures, as required. BigQuery is not a Database but an enterprise, serverless, highly scalable, and cost-effective cloud data data warehouse that solves this problem by enabling super-fast SQL queries using the processing power of Google’s infrastructure. It can quickly analyze gigabytes to petabytes of data using ANSI SQL. For any further detail: https://cloud.google.com/bigquery/what-is-bigquery https://cloud.google.com/bigquery/docs/nested-repeated | https://cloud.google.com/bigquery/what-is-bigquery: https://cloud.google.com/bigquery/what-is-bigquery | https://cloud.google.com/bigquery/docs/nested-repeated: https://cloud.google.com/bigquery/docs/nested-repeated",
"You are migrating a series of applications to Google Cloud Platform with a lift and shift methodology, using Compute Engine. Applications must be scalable, so Load Balancer and instance groups are being configured. Some applications manage session data in memory. Which of the following configurations do you choose to allow apps to work properly:",multiple-choice,HTTP(S) load balancer with Session affinity,,HTTP(S) load balancer with WebSocket proxy support,,QUIC protocol support for HTTPS Load Balancing,,Network Load Balancing,,SSL Proxy con Health Checks,,,,1,"Correct answer: A Session affinity provides a best-effort attempt to send requests from a particular client to the same backend for as long as the backend is healthy and has the capacity, according to the configured balancing mode. It is the best way to assure that session data is maintained in memory. It is a feature of the HTTP(S) load balancing. Google Cloud SSL Proxy Load Balancing terminates user SSL (TLS) connections at the load balancing layer, then balances the connections across your instances using the SSL or TCP protocols. Cloud SSL proxy is intended for non-HTTP(S) traffic. For HTTP(S) traffic, HTTP(S) load balancing is recommended instead. pass-through load balancer, so your backends receive the original client request For any further detail: https://cloud.google.com/load-balancing/docs/https/ https://cloud.google.com/load-balancing/docs/https/#session_affinity https://cloud.google.com/load-balancing/docs/ssl/ https://cloud.google.com/load-balancing/docs/network/ | https://cloud.google.com/load-balancing/docs/https/: https://cloud.google.com/load-balancing/docs/https/ | https://cloud.google.com/load-balancing/docs/https/#session_affinity: https://cloud.google.com/load-balancing/docs/https/#session_affinity | https://cloud.google.com/load-balancing/docs/ssl/: https://cloud.google.com/load-balancing/docs/ssl/ | https://cloud.google.com/load-balancing/docs/network/: https://cloud.google.com/load-balancing/docs/network/",
"You are planning a procedure, which must be prepared by one of your colleagues, in order to create a VM with the required configuration (SO and Disk). You need this VM for an interruptible work and you want to keep expenses at a minimum and being sure that the configuration will be flexible and easily upgradeable and that it will be possible to automatically create other virtual machines. What are the steps and commands to be performed (pick 2)?",multi-select,Create instance gcloud compute instances create [INSTANCE_NAME] --preemptible,,Create instance gcloud compute instances start [INSTANCE_NAME] --temporary,,Create a template,,Create an image,,,,,,"1,3","Correct answers: A, C In order to automatically create other virtual machines with a saved and updatable configuration you have to create a template; that is a saved configuration used by GCP to automate the process. A disk image doesn’t set the preentible flag. Instead, you can create preemptible instances in a managed instance group, with the preemptible option in the instance template before you create or update the group. For any further detail: https://cloud.google.com/compute/docs/instances/preemptible | https://cloud.google.com/compute/docs/instances/preemptible: https://cloud.google.com/compute/docs/instances/preemptible",
"You are planning a procedure, which must be prepared by one of your colleagues, in order to create a VM with the required configuration (SO and Disk); the main requirement is to make sure the configuration will be flexible and easily upgradeable and it will be possible to automatically create other virtual machines. What are the steps and commands to be performed (pick 2)?",multi-select,Create instance and then create template with commands: Create instance: gcloud compute instances create [INSTANCE_NAME] --image --create-disk Create template: gcloud compute instance-templates create [INSTANCE_TEMPLATE_NAME] --source-instance=[SOURCE_INSTANCE],,Create instance and then create template with commands: Create instance: gcloud compute instances start [INSTANCE_NAME] --image --create-disk Create template: gcloud compute templates create [INSTANCE_TEMPLATE_NAME] --source-instance=[SOURCE_INSTANCE],,Create instance with console and then let GCP prepare the commands for you and then Create template: gcloud compute templates create [INSTANCE_TEMPLATE_NAME] --source-instance=[SOURCE_INSTANCE],,Create instance with console and then let GCP prepare the commands for you and then Create template: gcloud compute instance-templates create [INSTANCE_TEMPLATE_NAME] --source-instance=[SOURCE_INSTANCE],,,,,,"1,2",In order to automatically create other virtual machines with a saved and updatable configuration you have to create a template; that is a saved configuration used by GCP to automate the process. You usually start from a boot disk image. This command gives you the list of available choices: | Image: https://skillcertpro.com/wp-content/uploads/2020/08/a31-300x131.png | https://skillcertpro.com/wp-content/uploads/2020/08/a31.png | Choose image: gcloud compute images list Then you may create the VM with the console or with commands . It this case the right syntax is: Create instance: gcloud compute instances create [INSTANCE_NAME] –image –create-disk Create template: gcloud compute instance-templates create [INSTANCE_TEMPLATE_NAME] –source-instance=[SOURCE_INSTANCE] For any further detail: https://cloud.google.com/compute/docs/instances/create-start-instance https://cloud.google.com/compute/docs/instance-templates/create-instance-templates | https://cloud.google.com/compute/docs/instances/create-start-instance: https://cloud.google.com/compute/docs/instances/create-start-instance | https://cloud.google.com/compute/docs/instance-templates/create-instance-templates: https://cloud.google.com/compute/docs/instance-templates/create-instance-templates,
You are planning to migrate a set of microservices apps in GCP that are already organized and deployed in Containers. You have been asked to find the best managed platform suited for these applications. Scalability is a requirement but there are not sudden and high bursts of requests. The applications are developed with different programming languages and tools and may be sessionless or may have to manage in memory sessions. Which of the following solutions will you suggest (choose 1)?,multiple-choice,Compute Engine and Managed Instances,,App Engine Flexible Environment,,App Engine Standard Environment,,Cloud Functions,,Cloud Run (fully managed),,,,2,"Correct answer: B This is the only platform that covers all the requirements. App Engine Flexible Environment gives a broad range of solutions with the only bound of using Containers, as in our case. Automatic scaling creates dynamic instances based on request rate, response latencies, and other application metrics. New instances start require more time compared to the Standard Environment, but it is clearly not an issue. Cloud Run is not suitable because it supports only sessionless applications. The other solutions are ot managed or don’t support the runtimes required. For any further detail: https://cloud.google.com/appengine/docs/flexible/java/how-instances-are-managed | https://cloud.google.com/appengine/docs/flexible/java/how-instances-are-managed: https://cloud.google.com/appengine/docs/flexible/java/how-instances-are-managed",
"You are planning to migrate an app in GCP with these features: C# language Time activated It may need hours to complete elaboration A managed, effective and simple solution is required and preferred. Which of the following solutions will you suggest (choose 1)?",multiple-choice,Compute Engine and Managed Instances,,Cloud Scheduler with App Engine .NET Flexible Environment Concepts with manual scaling,,Cloud Scheduler with App Engine Standard Environment,,Cloud Functions,,Cloud Run (fully managed),,,,1,,
